dateTime,nodeID,sensorID,gatewayID,rssi,loRaSNR,channel,rfChain,frequency,bandwidth,spreadingFactor,codeRate,dataRate,frameCounters,framePort,base64Data,base16Data,devAddr,deviceAddDecoded
2022-03-25 19:18:56.565378,475a5fe3002f001b,GPGGALR,647fdafffe0100ad,-95,-6,3,0,914100000,125,7,4/5,3,4,5,Gy/dJAZ/QEDG/XImgDBYwBh47j1ccqw/zczMzMy8aUA9CtejcGVjQFyPwvUoXO8/5gcDGRMSNQ==,1b2fdd24067f4040c6fd7226803058c01878ee3d5c72ac3fcdccccccccbc69403d0ad7a3706563405c8fc2f5285cef3fe6070319131235,Ac25vw==,01cdb9bf
2022-03-25 19:19:17.154341,475a5fe3002c0020,GPGGALR,647fdafffe0100ad,-87,-3.2,2,0,913900000,125,7,4/5,3,5,5,iPdyWAd/QEDcaABvgTBYwBLaci7FVcU/MzMzMzMjbEBmZmZmZkZtQClcj8L1KPg/5gcDGRMTDg==,88f77258077f4040dc68006f813058c012da722ec555c53f3333333333236c406666666666466d40295c8fc2f528f83fe607031913130e,Ac/N4Q==,01cfcde1
2022-03-25 19:19:41.868367,8cf95720000589cc,IPS7100,647fdafffe0100ad,-83,3.5,6,0,914700000,125,8,4/5,2,3,15,j5IAACpEAAAyCQAAmgAAABYAAAAAAAAAAAAAALtoAD2Bntk+wsQrP53gTD+YVYs/mFWLP5hViz8=,8f9200002a440000320900009a000000160000000000000000000000bb68003d819ed93ec2c42b3f9de04c3f98558b3f98558b3f98558b3f,AN0j2w==,00dd23db
2022-03-25 19:19:45.095019,475a5fe30024001c,IPS7100,647fdafffe0100ad,-83,-5.8,6,0,914700000,125,7,4/5,3,2,15,l04AALEnAACFBAAAowAAADEAAAAAAAAAAAAAACq4iTwy93s+UuS7Pu0AAT9WF5M/VheTP1YXkz8=,974e0000b127000085040000a30000003100000000000000000000002ab8893c32f77b3e52e4bb3eed00013f5617933f5617933f5617933f,AFT0Jg==,0054f426
2022-03-25 19:20:05.481530,479b558000380033,IPS7100,647fdafffe0100ad,-43,8.8,0,0,913500000,125,7,4/5,3,5,15,QI0AAONBAAAfCgAAUAEAAIkAAAAAAAAAAAAAAIGE9zzCS9I+HW8uP+hYdj/KJDBAyiQwQMokMEA=,408d0000e34100001f0a0000500100008900000000000000000000008184f73cc24bd23e1d6f2e3fe858763fca243040ca243040ca243040,AIzxXA==,008cf15c
2022-03-25 19:20:09.064264,475a5fe30024001c,INA219Duo,647fdafffe0100ad,-88,7.5,0,0,913500000,125,7,4/5,3,4,3,exSaQT0Kd0CaGTtDAIA3RK5HgT/pJsFAmpkhQQAAeEI=,7b149a413d0a77409a193b4300803744ae47813fe926c1409a99214100007842,AFT0Jg==,0054f426
2022-03-25 19:20:17.333331,479b558000380033,BME280,647fdafffe0100ad,-80,6.8,5,0,914500000,125,7,4/5,3,6,21,SOHyQexheEQAAEBB,48e1f241ec61784400004041,AIzxXA==,008cf15c
2022-03-25 19:20:19.237717,47db558000330044,GPGGALR,647fdafffe0100ad,-85,7.2,4,0,914300000,125,7,4/5,3,9,5,uKxsZgd/QEBe2G8tgDBYwGalSSno9pI/AAAAAABwaUBSuB6F6/FnQArXo3A9Cu8/5gcDGRMUEA==,b8ac6c66077f40405ed86f2d803058c066a54929e8f6923f000000000070694052b81e85ebf167400ad7a3703d0aef3fe6070319131410,AfILJg==,01f20b26
2022-03-25 19:20:29.428841,479b558000380033,INA219Duo,647fdafffe0100ad,-80,6.8,1,0,913700000,125,7,4/5,3,7,3,FK4jwYtsZ0AzM9fCAADDQylctUFaZLtAM7NiQwAApkQ=,14ae23c18b6c67403333d7c20000c343295cb5415a64bb4033b362430000a644,AIzxXA==,008cf15c
2022-03-25 19:21:13.561063,47db558000350047,GPGGALR,647fdafffe0100ad,-86,6.2,2,0,913900000,125,7,4/5,3,6,5,ZSGQBAd/QEC0koH8fzBYwGalSSno9pI/mpmZmZl5akBxPQrXo5hpQArXo3A9Cu8/5gcDGRMVCg==,65219004077f4040b49281fc7f3058c066a54929e8f6923f9a99999999796a40713d0ad7a39869400ad7a3703d0aef3fe607031913150a,AZ2OWw==,019d8e5b
