dateTime,infraRed,red,green,blue,proximity
2022-03-25 19:39:52.766666,43386.00,12381.00,14137.00,20020.00,33
2022-03-25 19:40:09.766544,43396.00,12381.00,14140.00,20026.00,32
2022-03-25 19:40:26.766215,43394.00,12380.00,14139.00,20025.00,33
2022-03-25 19:40:43.750680,43395.00,12382.00,14142.00,20026.00,32
2022-03-25 19:41:00.750942,43387.00,12380.00,14140.00,20023.00,33
2022-03-25 19:41:17.750467,43385.00,12377.00,14141.00,20022.00,32
2022-03-25 19:41:34.750490,43363.00,12371.00,14136.00,20015.00,33
2022-03-25 19:41:51.749826,43347.00,12364.00,14134.00,20012.00,33
2022-03-25 19:42:08.734710,43334.00,12357.00,14127.00,20005.00,32
2022-03-25 19:42:25.734737,43320.00,12351.00,14126.00,20005.00,32
2022-03-25 19:42:42.735352,43283.00,12338.00,14115.00,19990.00,33
2022-03-25 19:42:59.735579,43261.00,12329.00,14107.00,19982.00,32
2022-03-25 19:43:16.735563,43231.00,12314.00,14098.00,19971.00,33
2022-03-25 19:43:33.736185,43196.00,12302.00,14089.00,19959.00,32
2022-03-25 19:43:50.736135,43168.00,12288.00,14081.00,19946.00,33
2022-03-25 19:44:07.735750,43125.00,12275.00,14070.00,19930.00,32
2022-03-25 19:44:24.736225,43095.00,12262.00,14060.00,19920.00,33
2022-03-25 19:44:41.735920,43066.00,12251.00,14053.00,19910.00,32
2022-03-25 19:44:58.719873,43037.00,12238.00,14043.00,19897.00,33
2022-03-25 19:45:15.719866,43005.00,12226.00,14034.00,19884.00,33
2022-03-25 19:45:32.719388,42974.00,12215.00,14026.00,19875.00,33
2022-03-25 19:45:49.719462,42947.00,12203.00,14020.00,19864.00,32
2022-03-25 19:46:06.719792,42921.00,12194.00,14012.00,19852.00,32
2022-03-25 19:46:23.719326,42897.00,12184.00,14005.00,19844.00,32
2022-03-25 19:46:40.718979,42878.00,12179.00,14001.00,19837.00,32
2022-03-25 19:46:57.718425,42861.00,12171.00,13997.00,19830.00,33
2022-03-25 19:47:14.718665,42845.00,12166.00,13992.00,19826.00,32
2022-03-25 19:47:31.703708,42848.00,12166.00,13997.00,19828.00,32
2022-03-25 19:47:48.703458,42844.00,12165.00,13998.00,19826.00,32
2022-03-25 19:48:05.703042,42840.00,12164.00,13999.00,19825.00,33
2022-03-25 19:48:22.702951,42842.00,12165.00,14001.00,19829.00,32
2022-03-25 19:48:39.702733,42836.00,12164.00,14003.00,19828.00,33
2022-03-25 19:48:56.702521,42835.00,12165.00,14004.00,19829.00,32
2022-03-25 19:49:13.702395,42839.00,12164.00,14007.00,19827.00,33
2022-03-25 19:49:30.702972,42835.00,12164.00,14008.00,19828.00,33
2022-03-25 19:49:47.687883,42836.00,12164.00,14011.00,19830.00,33
2022-03-25 19:50:04.702726,42836.00,12164.00,14013.00,19832.00,32
2022-03-25 19:50:21.687662,42828.00,12162.00,14013.00,19829.00,33
2022-03-25 19:50:38.687446,42813.00,12155.00,14008.00,19824.00,32
2022-03-25 19:50:55.687204,42795.00,12144.00,14002.00,19821.00,32
2022-03-25 19:51:12.687374,42779.00,12137.00,13998.00,19815.00,32
2022-03-25 19:51:29.687194,42757.00,12129.00,13994.00,19810.00,32
2022-03-25 19:51:46.672070,42734.00,12120.00,13990.00,19802.00,33
2022-03-25 19:52:03.672066,42713.00,12113.00,13984.00,19797.00,33
2022-03-25 19:52:20.671639,42701.00,12105.00,13979.00,19789.00,32
2022-03-25 19:52:37.671285,42672.00,12096.00,13973.00,19781.00,33
2022-03-25 19:52:54.671504,42647.00,12086.00,13967.00,19772.00,32
2022-03-25 19:53:11.671284,42617.00,12074.00,13959.00,19764.00,33
2022-03-25 19:53:28.671187,42582.00,12061.00,13949.00,19748.00,33
2022-03-25 19:53:45.671705,42542.00,12046.00,13938.00,19733.00,33
2022-03-25 19:54:02.671688,42508.00,12031.00,13926.00,19722.00,33
