dateTime,uvLevel
2022-03-25 19:38:11.347308,2
2022-03-25 19:38:23.365334,0
2022-03-25 19:38:35.398665,0
2022-03-25 19:38:47.416747,2
2022-03-25 19:38:59.450149,1
2022-03-25 19:39:11.468324,2
2022-03-25 19:39:23.501858,1
2022-03-25 19:39:35.520114,0
2022-03-25 19:39:47.553729,2
2022-03-25 19:39:59.572119,0
2022-03-25 19:40:11.605295,0
2022-03-25 19:40:23.639126,1
2022-03-25 19:40:35.657347,1
2022-03-25 19:40:47.691036,0
2022-03-25 19:40:59.724606,1
2022-03-25 19:41:11.742791,0
2022-03-25 19:41:23.776342,0
2022-03-25 19:41:35.794532,1
2022-03-25 19:41:47.827985,1
2022-03-25 19:41:59.846170,1
2022-03-25 19:42:11.879573,0
2022-03-25 19:42:23.897993,1
2022-03-25 19:42:35.931092,2
2022-03-25 19:42:47.964772,2
2022-03-25 19:42:59.998440,1
2022-03-25 19:43:12.016769,0
2022-03-25 19:43:24.050063,1
2022-03-25 19:43:36.068075,2
2022-03-25 19:43:48.101570,1
2022-03-25 19:44:00.120028,2
2022-03-25 19:44:12.153504,3
2022-03-25 19:44:24.187038,0
2022-03-25 19:44:36.205042,0
2022-03-25 19:44:48.223620,0
2022-03-25 19:45:00.256947,2
2022-03-25 19:45:12.274947,1
2022-03-25 19:45:24.308461,1
2022-03-25 19:45:36.326626,0
2022-03-25 19:45:48.359993,0
2022-03-25 19:46:00.378044,2
2022-03-25 19:46:12.411467,2
2022-03-25 19:46:24.429658,1
2022-03-25 19:46:36.462970,2
2022-03-25 19:46:48.481364,0
2022-03-25 19:47:00.514779,1
2022-03-25 19:47:12.533017,0
2022-03-25 19:47:24.566194,1
2022-03-25 19:47:36.583969,0
2022-03-25 19:47:48.617596,2
2022-03-25 19:48:00.651072,2
2022-03-25 19:48:12.669362,1
2022-03-25 19:48:24.702979,2
2022-03-25 19:48:36.721177,0
2022-03-25 19:48:48.754530,0
2022-03-25 19:49:00.772656,0
2022-03-25 19:49:12.806037,1
2022-03-25 19:49:24.824234,0
2022-03-25 19:49:36.857898,2
2022-03-25 19:49:48.891515,0
2022-03-25 19:50:00.909642,2
2022-03-25 19:50:12.943283,1
2022-03-25 19:50:24.961560,0
2022-03-25 19:50:36.995054,0
2022-03-25 19:50:49.028653,0
2022-03-25 19:51:01.047127,0
2022-03-25 19:51:13.080166,0
2022-03-25 19:51:25.098140,0
2022-03-25 19:51:37.131765,2
2022-03-25 19:51:49.165250,1
2022-03-25 19:52:01.183596,1
2022-03-25 19:52:13.201823,2
2022-03-25 19:52:25.235166,1
2022-03-25 19:52:37.268816,1
2022-03-25 19:52:49.302480,1
2022-03-25 19:53:01.320615,0
2022-03-25 19:53:13.354010,0
2022-03-25 19:53:25.372205,2
2022-03-25 19:53:37.405420,0
2022-03-25 19:53:49.423805,2
2022-03-25 19:54:01.457398,1
2022-03-25 19:54:13.475637,0
2022-03-25 19:54:25.508728,2
2022-03-25 19:54:37.526840,0
2022-03-25 19:54:49.560376,1
2022-03-25 19:55:01.593854,1
2022-03-25 19:55:13.627609,0
2022-03-25 19:55:25.646030,2
2022-03-25 19:55:37.679404,0
2022-03-25 19:55:49.697778,2
2022-03-25 19:56:01.731019,0
2022-03-25 19:56:13.764720,0
2022-03-25 19:56:25.798295,0
2022-03-25 19:56:37.816450,1
2022-03-25 19:56:49.850108,2
2022-03-25 19:57:01.883624,1
2022-03-25 19:57:13.917526,2
2022-03-25 19:57:25.935907,0
2022-03-25 19:57:37.969231,1
2022-03-25 19:57:49.987324,0
2022-03-25 19:58:02.021009,1
2022-03-25 19:58:14.054659,0
2022-03-25 19:58:26.072694,0
2022-03-25 19:58:38.106421,2
2022-03-25 19:58:50.124543,0
2022-03-25 19:59:02.157981,0
2022-03-25 19:59:14.176047,1
2022-03-25 19:59:26.209675,2
2022-03-25 19:59:38.227779,1
2022-03-25 19:59:50.261061,1
2022-03-25 20:00:02.279218,1
2022-03-25 20:00:14.312579,0
2022-03-25 20:00:26.330875,0
2022-03-25 20:00:38.364402,0
2022-03-25 20:00:50.382503,1
2022-03-25 20:01:02.416325,0
2022-03-25 20:01:14.450014,0
2022-03-25 20:01:26.483364,1
2022-03-25 20:01:38.501987,1
2022-03-25 20:01:50.535380,2
2022-03-25 20:02:02.553471,0
2022-03-25 20:02:14.587075,1
2022-03-25 20:02:26.620537,0
2022-03-25 20:02:38.638948,1
2022-03-25 20:02:50.672247,0
2022-03-25 20:03:02.690469,2
2022-03-25 20:03:14.723925,0
2022-03-25 20:03:26.742198,0
2022-03-25 20:03:38.775784,0
2022-03-25 20:03:50.793845,1
2022-03-25 20:04:02.827254,2
2022-03-25 20:04:14.845385,0
2022-03-25 20:04:26.878873,0
2022-03-25 20:04:38.896840,0
2022-03-25 20:04:50.930469,0
2022-03-25 20:05:02.964107,1
2022-03-25 20:05:14.982195,0
2022-03-25 20:05:27.015580,1
2022-03-25 20:05:39.049146,1
2022-03-25 20:05:51.067281,2
2022-03-25 20:06:03.100815,1
2022-03-25 20:06:15.118691,0
2022-03-25 20:06:27.152466,1
2022-03-25 20:06:39.170760,1
2022-03-25 20:06:51.204386,1
2022-03-25 20:07:03.238031,2
2022-03-25 20:07:15.256137,2
2022-03-25 20:07:27.289559,0
2022-03-25 20:07:39.307842,0
2022-03-25 20:07:51.341228,1
2022-03-25 20:08:03.359383,1
2022-03-25 20:08:15.392859,0
2022-03-25 20:08:27.410834,1
2022-03-25 20:08:39.444606,0
2022-03-25 20:08:51.478163,0
2022-03-25 20:09:03.511563,2
2022-03-25 20:09:15.529757,0
2022-03-25 20:09:27.563164,1
2022-03-25 20:09:39.581454,0
2022-03-25 20:09:51.614774,1
2022-03-25 20:10:03.633230,2
2022-03-25 20:10:15.666541,0
2022-03-25 20:10:27.684725,1
2022-03-25 20:10:39.718403,0
2022-03-25 20:10:51.736822,1
2022-03-25 20:11:03.770235,2
2022-03-25 20:11:15.803743,2
2022-03-25 20:11:27.822013,2
2022-03-25 20:11:39.839870,0
2022-03-25 20:11:51.873307,2
2022-03-25 20:12:03.906927,2
2022-03-25 20:12:15.925294,2
2022-03-25 20:12:27.959006,1
