Labels,Scientific name,Common name
1352,Mirafra africana,Rufous-naped Lark
1353,Mirafra erythroptera,Indian Bushlark
1354,Mirafra javanica,Australasian Bushlark
1355,Mitrephanes phaeocercus,Tufted Flycatcher
1356,Mitrospingus cassinii,Dusky-faced Tanager
1357,Mixornis gularis,Pin-striped Tit-Babbler
1358,Mniotilta varia,Black-and-white Warbler
1359,Mohoua albicilla,Whitehead
1360,Molothrus aeneus,Bronzed Cowbird
1361,Molothrus ater,Brown-headed Cowbird
1362,Molothrus bonariensis,Shiny Cowbird
1363,Molothrus oryzivorus,Giant Cowbird
1364,Molothrus rufoaxillaris,Screaming Cowbird
1365,Momotus aequatorialis,Andean Motmot
1366,Momotus lessonii,Lesson's Motmot
1367,Momotus mexicanus,Russet-crowned Motmot
1368,Momotus momota,Amazonian Motmot
1369,Momotus subrufescens,Whooping Motmot
1370,Monasa morphoeus,White-fronted Nunbird
1371,Monasa nigrifrons,Black-fronted Nunbird
1372,Monticola saxatilis,Rufous-tailed Rock-Thrush
1373,Monticola solitarius,Blue Rock-Thrush
1374,Morococcyx erythropygus,Lesser Ground-Cuckoo
1375,Morus bassanus,Northern Gannet
1376,Motacilla aguimp,African Pied Wagtail
1377,Motacilla alba,White Wagtail
1378,Motacilla cinerea,Gray Wagtail
1379,Motacilla citreola,Citrine Wagtail
1380,Motacilla flava,Western Yellow Wagtail
1381,Motacilla maderaspatensis,White-browed Wagtail
1382,Motacilla tschutschensis,Eastern Yellow Wagtail
1383,Muscicapa adusta,African Dusky Flycatcher
1384,Muscicapa dauurica,Asian Brown Flycatcher
1385,Muscicapa griseisticta,Gray-streaked Flycatcher
1386,Muscicapa striata,Spotted Flycatcher
1387,Mustelirallus albicollis,Ash-throated Crake
1388,Myadestes melanops,Black-faced Solitaire
1389,Myadestes obscurus,Omao
1390,Myadestes occidentalis,Brown-backed Solitaire
1391,Myadestes palmeri,Puaiohi
1392,Myadestes ralloides,Andean Solitaire
1393,Myadestes townsendi,Townsend's Solitaire
1394,Myadestes unicolor,Slate-colored Solitaire
1395,Myiagra alecto,Shining Flycatcher
1396,Myiagra inquieta,Restless Flycatcher
1397,Myiagra rubecula,Leaden Flycatcher
1398,Myiarchus cephalotes,Pale-edged Flycatcher
1399,Myiarchus cinerascens,Ash-throated Flycatcher
1400,Myiarchus crinitus,Great Crested Flycatcher
1401,Myiarchus ferox,Short-crested Flycatcher
1402,Myiarchus nuttingi,Nutting's Flycatcher
1403,Myiarchus sagrae,La Sagra's Flycatcher
1404,Myiarchus swainsoni,Swainson's Flycatcher
1405,Myiarchus tuberculifer,Dusky-capped Flycatcher
1406,Myiarchus tyrannulus,Brown-crested Flycatcher
1407,Myioborus melanocephalus,Spectacled Redstart
1408,Myioborus miniatus,Slate-throated Redstart
1409,Myioborus ornatus,Golden-fronted Redstart
1410,Myioborus pictus,Painted Redstart
1411,Myiodynastes chrysocephalus,Golden-crowned Flycatcher
1412,Myiodynastes luteiventris,Sulphur-bellied Flycatcher
1413,Myiodynastes maculatus,Streaked Flycatcher
1414,Myiomela leucura,White-tailed Robin
1415,Myiopagis caniceps,Gray Elaenia
1416,Myiopagis gaimardii,Forest Elaenia
1417,Myiopagis viridicata,Greenish Elaenia
1418,Myiophobus fasciatus,Bran-colored Flycatcher
1419,Myiopsitta monachus,Monk Parakeet
1420,Myiornis atricapillus,Black-capped Pygmy-Tyrant
1421,Myiornis auricularis,Eared Pygmy-Tyrant
1422,Myiornis ecaudatus,Short-tailed Pygmy-Tyrant
1423,Myiotheretes striaticollis,Streak-throated Bush-Tyrant
1424,Myiothlypis coronata,Russet-crowned Warbler
1425,Myiothlypis flaveola,Flavescent Warbler
1426,Myiothlypis fulvicauda,Buff-rumped Warbler
1427,Myiothlypis leucoblephara,White-browed Warbler
1428,Myiothlypis nigrocristata,Black-crested Warbler
1429,Myiothlypis rivularis,Riverbank Warbler
1430,Myiotriccus ornatus,Ornate Flycatcher
1431,Myiozetetes cayanensis,Rusty-margined Flycatcher
1432,Myiozetetes granadensis,Gray-capped Flycatcher
1433,Myiozetetes similis,Social Flycatcher
1434,Myophonus caeruleus,Blue Whistling-Thrush
1435,Myophonus horsfieldii,Malabar Whistling-Thrush
1436,Myrmeciza longipes,White-bellied Antbird
1437,Myrmoborus leucophrys,White-browed Antbird
1438,Myrmoborus myotherinus,Black-faced Antbird
1439,Myrmophylax atrothorax,Black-throated Antbird
1440,Myrmothera dives,Thicket Antpitta
1441,Myrmotherula axillaris,White-flanked Antwren
1442,Myrmotherula brachyura,Pygmy Antwren
1443,Myrmotherula menetriesii,Gray Antwren
1444,Myrmotherula pacifica,Pacific Antwren
1445,Myrmotherula schisticolor,Slaty Antwren
1446,Myzomela sanguinolenta,Scarlet Myzomela
