Labels,Scientific name,Common name
1599,Patagona gigas,Giant Hummingbird
1600,Pavo cristatus,Indian Peafowl
1601,Pelargopsis capensis,Stork-billed Kingfisher
1602,Pellorneum ruficeps,Puff-throated Babbler
1603,Penelope jacquacu,Spix's Guan
1604,Penelope montagnii,Andean Guan
1605,Penelope obscura,Dusky-legged Guan
1606,Penelope purpurascens,Crested Guan
1607,Perdicula asiatica,Jungle Bush-Quail
1608,Perdix perdix,Gray Partridge
1609,Pericrocotus cinnamomeus,Small Minivet
1610,Pericrocotus divaricatus,Ashy Minivet
1611,Pericrocotus ethologus,Long-tailed Minivet
1612,Pericrocotus flammeus,Orange Minivet
1613,Pericrocotus speciosus,Scarlet Minivet
1614,Periparus ater,Coal Tit
1615,Perisoreus canadensis,Canada Jay
1616,Pernis apivorus,European Honey-buzzard
1617,Pernis ptilorhynchus,Oriental Honey-buzzard
1618,Petrochelidon fulva,Cave Swallow
1619,Petrochelidon pyrrhonota,Cliff Swallow
1620,Petroica macrocephala,Tomtit
1621,Petronia petronia,Rock Sparrow
1622,Peucaea aestivalis,Bachman's Sparrow
1623,Peucaea botterii,Botteri's Sparrow
1624,Peucaea carpalis,Rufous-winged Sparrow
1625,Peucaea cassinii,Cassin's Sparrow
1626,Peucaea ruficauda,Stripe-headed Sparrow
1627,Peucedramus taeniatus,Olive Warbler
1628,Phacellodomus ruber,Greater Thornbird
1629,Phacellodomus rufifrons,Rufous-fronted Thornbird
1630,Phacellodomus striaticollis,Freckle-breasted Thornbird
1631,Phaeochroa cuvierii,Scaly-breasted Hummingbird
1632,Phaeomyias murina,Mouse-colored Tyrannulet
1633,Phaethon lepturus,White-tailed Tropicbird
1634,Phaethon rubricauda,Red-tailed Tropicbird
1635,Phaethornis eurynome,Scale-throated Hermit
1636,Phaethornis guy,Green Hermit
1637,Phaethornis longirostris,Long-billed Hermit
1638,Phaethornis ruber,Reddish Hermit
1639,Phaethornis striigularis,Stripe-throated Hermit
1640,Phaethornis yaruqui,White-whiskered Hermit
1641,Phaetusa simplex,Large-billed Tern
1642,Phainopepla nitens,Phainopepla
1643,Phalacrocorax carbo,Great Cormorant
1644,Phalaenoptilus nuttallii,Common Poorwill
1645,Phalaropus fulicarius,Red Phalarope
1646,Phalaropus lobatus,Red-necked Phalarope
1647,Phalaropus tricolor,Wilson's Phalarope
1648,Pharomachrus auriceps,Golden-headed Quetzal
1649,Pharomachrus mocinno,Resplendent Quetzal
1650,Phasianus colchicus,Ring-necked Pheasant
1651,Pheucticus aureoventris,Black-backed Grosbeak
1652,Pheucticus chrysogaster,Golden Grosbeak
1653,Pheucticus chrysopeplus,Yellow Grosbeak
1654,Pheucticus ludovicianus,Rose-breasted Grosbeak
1655,Pheucticus melanocephalus,Black-headed Grosbeak
1656,Pheugopedius atrogularis,Black-throated Wren
1657,Pheugopedius coraya,Coraya Wren
1658,Pheugopedius euophrys,Plain-tailed Wren
1659,Pheugopedius fasciatoventris,Black-bellied Wren
1660,Pheugopedius felix,Happy Wren
1661,Pheugopedius genibarbis,Moustached Wren
1662,Pheugopedius maculipectus,Spot-breasted Wren
1663,Pheugopedius mystacalis,Whiskered Wren
1664,Pheugopedius rutilus,Rufous-breasted Wren
1665,Pheugopedius sclateri,Speckle-breasted Wren
1666,Philemon buceroides,Helmeted Friarbird
1667,Philemon citreogularis,Little Friarbird
1668,Philemon corniculatus,Noisy Friarbird
1669,Phleocryptes melanops,Wren-like Rushbird
1670,Phoebastria immutabilis,Laysan Albatross
1671,Phoebastria nigripes,Black-footed Albatross
1672,Phoenicopterus roseus,Greater Flamingo
1673,Phoeniculus purpureus,Green Woodhoopoe
1674,Phoenicurus auroreus,Daurian Redstart
1675,Phoenicurus fuliginosus,Plumbeous Redstart
1676,Phoenicurus ochruros,Black Redstart
1677,Phoenicurus phoenicurus,Common Redstart
1678,Phrygilus gayi,Gray-hooded Sierra Finch
1679,Phrygilus patagonicus,Patagonian Sierra Finch
1680,Phylidonyris novaehollandiae,New Holland Honeyeater
1681,Phylidonyris pyrrhopterus,Crescent Honeyeater
1682,Phyllergates cucullatus,Mountain Tailorbird
1683,Phyllomyias fasciatus,Planalto Tyrannulet
1684,Phyllomyias griseiceps,Sooty-headed Tyrannulet
1685,Phyllomyias nigrocapillus,Black-capped Tyrannulet
1686,Phyllopalpus pulchellus,Handsome Trig
1687,Phylloscartes ophthalmicus,Marble-faced Bristle-Tyrant
1688,Phylloscartes ventralis,Mottle-cheeked Tyrannulet
1689,Phylloscopus bonelli,Western Bonelli's Warbler
1690,Phylloscopus borealis,Arctic Warbler
1691,Phylloscopus collybita,Common Chiffchaff
1692,Phylloscopus coronatus,Eastern Crowned Warbler
1693,Phylloscopus fuscatus,Dusky Warbler
1694,Phylloscopus humei,Hume's Warbler
1695,Phylloscopus ibericus,Iberian Chiffchaff
1696,Phylloscopus inornatus,Yellow-browed Warbler
1697,Phylloscopus maculipennis,Ashy-throated Warbler
1698,Phylloscopus magnirostris,Large-billed Leaf Warbler
1699,Phylloscopus nitidus,Green Warbler
1700,Phylloscopus plumbeitarsus,Two-barred Warbler
1701,Phylloscopus proregulus,Pallas's Leaf Warbler
1702,Phylloscopus pulcher,Buff-barred Warbler
1703,Phylloscopus reguloides,Blyth's Leaf Warbler
1704,Phylloscopus schwarzi,Radde's Warbler
1705,Phylloscopus sibilatrix,Wood Warbler
1706,Phylloscopus tenellipes,Pale-legged Leaf Warbler
1707,Phylloscopus trochiloides,Greenish Warbler
1708,Phylloscopus trochilus,Willow Warbler
1709,Phylloscopus whistleri,Whistler's Warbler
1710,Phylloscopus xanthoschistos,Gray-hooded Warbler
1711,Phytotoma rutila,White-tipped Plantcutter
1712,Piaya cayana,Squirrel Cuckoo
1713,Pica hudsonia,Black-billed Magpie
1714,Pica nuttalli,Yellow-billed Magpie
1715,Pica pica,Eurasian Magpie
1716,Picoides arcticus,Black-backed Woodpecker
1717,Picoides dorsalis,American Three-toed Woodpecker
1718,Piculus flavigula,Yellow-throated Woodpecker
1719,Picumnus cirratus,White-barred Piculet
1720,Picumnus temminckii,Ochre-collared Piculet
1721,Picus canus,Gray-headed Woodpecker
1722,Picus chlorolophus,Lesser Yellownape
1723,Picus sharpei,Iberian Green Woodpecker
1724,Picus viridis,Eurasian Green Woodpecker
1725,Pinicola enucleator,Pine Grosbeak
1726,Pionites melanocephalus,Black-headed Parrot
1727,Pionus chalcopterus,Bronze-winged Parrot
1728,Pionus maximiliani,Scaly-headed Parrot
1729,Pionus menstruus,Blue-headed Parrot
1730,Pionus senilis,White-crowned Parrot
1731,Pionus sordidus,Red-billed Parrot
1732,Pionus tumultuosus,Speckle-faced Parrot
1733,Pipile cumanensis,Blue-throated Piping-Guan
1734,Pipilo chlorurus,Green-tailed Towhee
1735,Pipilo erythrophthalmus,Eastern Towhee
1736,Pipilo maculatus,Spotted Towhee
1737,Pipra fasciicauda,Band-tailed Manakin
1738,Pipraeidea melanonota,Fawn-breasted Tanager
1739,Pipreola riefferii,Green-and-black Fruiteater
1740,Piprites chloris,Wing-barred Piprites
1741,Piranga bidentata,Flame-colored Tanager
1742,Piranga flava,Hepatic Tanager
1743,Piranga leucoptera,White-winged Tanager
1744,Piranga ludoviciana,Western Tanager
1745,Piranga olivacea,Scarlet Tanager
1746,Piranga rubra,Summer Tanager
1747,Pitangus lictor,Lesser Kiskadee
1748,Pitangus sulphuratus,Great Kiskadee
1749,Pitta brachyura,Indian Pitta
1750,Platycercus caledonicus,Green Rosella
1751,Platycercus elegans,Crimson Rosella
1752,Platycercus eximius,Eastern Rosella
1753,Platyrinchus coronatus,Golden-crowned Spadebill
1754,Platyrinchus mystaceus,White-throated Spadebill
1755,Platysteira cyanea,Brown-throated Wattle-eye
1756,Plectrophenax nivalis,Snow Bunting
1757,Plegadis chihi,White-faced Ibis
1758,Plegadis falcinellus,Glossy Ibis
1759,Plocepasser mahali,White-browed Sparrow-Weaver
1760,Ploceus cucullatus,Village Weaver
1761,Ploceus manyar,Streaked Weaver
1762,Ploceus philippinus,Baya Weaver
1763,Pluvialis apricaria,European Golden-Plover
1764,Pluvialis dominica,American Golden-Plover
1765,Pluvialis fulva,Pacific Golden-Plover
1766,Pluvialis squatarola,Black-bellied Plover
1767,Pnoepyga pusilla,Pygmy Cupwing
1768,Podiceps auritus,Horned Grebe
1769,Podiceps cristatus,Great Crested Grebe
1770,Podiceps grisegena,Red-necked Grebe
1771,Podiceps nigricollis,Eared Grebe
1772,Podilymbus podiceps,Pied-billed Grebe
1773,Poecile atricapillus,Black-capped Chickadee
1774,Poecile carolinensis,Carolina Chickadee
1775,Poecile gambeli,Mountain Chickadee
1776,Poecile hudsonicus,Boreal Chickadee
1777,Poecile montanus,Willow Tit
1778,Poecile palustris,Marsh Tit
1779,Poecile rufescens,Chestnut-backed Chickadee
1780,Poecile sclateri,Mexican Chickadee
1781,Poecilotriccus plumbeiceps,Ochre-faced Tody-Flycatcher
1782,Poecilotriccus sylvia,Slate-headed Tody-Flycatcher
1783,Pogoniulus bilineatus,Yellow-rumped Tinkerbird
1784,Pogoniulus chrysoconus,Yellow-fronted Tinkerbird
1785,Pogoniulus pusillus,Red-fronted Tinkerbird
1786,Poliocrania exsul,Chestnut-backed Antbird
1787,Polioptila albiloris,White-lored Gnatcatcher
1788,Polioptila bilineata,White-browed Gnatcatcher
1789,Polioptila caerulea,Blue-gray Gnatcatcher
1790,Polioptila californica,California Gnatcatcher
1791,Polioptila dumicola,Masked Gnatcatcher
1792,Polioptila melanura,Black-tailed Gnatcatcher
1793,Polioptila nigriceps,Black-capped Gnatcatcher
1794,Polioptila plumbea,Tropical Gnatcatcher
1795,Pomatorhinus horsfieldii,Indian Scimitar-Babbler
1796,Pomatorhinus musicus,Taiwan Scimitar-Babbler
1797,Pomatorhinus ruficollis,Streak-breasted Scimitar-Babbler
1798,Pomatorhinus schisticeps,White-browed Scimitar-Babbler
1799,Poodytes gramineus,Little Grassbird
1800,Pooecetes gramineus,Vesper Sparrow
1801,Poospiza nigrorufa,Black-and-rufous Warbling Finch
1802,Porphyrio martinica,Purple Gallinule
1803,Porphyrio melanotus,Australasian Swamphen
1804,Porphyrio poliocephalus,Gray-headed Swamphen
1805,Porphyrio porphyrio,Western Swamphen
1806,Porzana carolina,Sora
1807,Porzana porzana,Spotted Crake
1808,Power tools,Power tools
1809,Premnoplex brunnescens,Spotted Barbtail
1810,Prinia flaviventris,Yellow-bellied Prinia
1811,Prinia gracilis,Graceful Prinia
1812,Prinia hodgsonii,Gray-breasted Prinia
1813,Prinia inornata,Plain Prinia
1814,Prinia maculosa,Karoo Prinia
1815,Prinia rufescens,Rufescent Prinia
1816,Prinia socialis,Ashy Prinia
1817,Prinia subflava,Tawny-flanked Prinia
1818,Prinia sylvatica,Jungle Prinia
1819,Procnias nudicollis,Bare-throated Bellbird
1820,Procnias tricarunculatus,Three-wattled Bellbird
1821,Progne chalybea,Gray-breasted Martin
1822,Progne subis,Purple Martin
1823,Progne tapera,Brown-chested Martin
1824,Prosthemadera novaeseelandiae,Tui
1825,Protonotaria citrea,Prothonotary Warbler
1826,Prunella collaris,Alpine Accentor
1827,Prunella modularis,Dunnock
1828,Psaltriparus minimus,Bushtit
1829,Psarocolius angustifrons,Russet-backed Oropendola
1830,Psarocolius bifasciatus,Olive Oropendola
1831,Psarocolius decumanus,Crested Oropendola
1832,Psarocolius montezuma,Montezuma Oropendola
1833,Psarocolius wagleri,Chestnut-headed Oropendola
1834,Pseudacris brimleyi,Brimley's Chorus Frog
1835,Pseudacris clarkii,Spotted Chorus Frog
1836,Pseudacris crucifer,Spring Peeper
1837,Pseudacris feriarum,Upland Chorus Frog
1838,Pseudacris nigrita,Southern Chorus Frog
1839,Pseudacris ocularis,Little Grass Frog
1840,Pseudacris ornata,Ornate Chorus Frog
1841,Pseudacris streckeri,Strecker's Chorus Frog
1842,Pseudacris triseriata,Striped Chorus Frog
1843,Pseudasthenes humicola,Dusky-tailed Canastero
1844,Pseudibis papillosa,Red-naped Ibis
1845,Pseudocolaptes boissonneautii,Streaked Tuftedcheek
1846,Pseudoleistes guirahuro,Yellow-rumped Marshbird
1847,Pseudoleistes virescens,Brown-and-yellow Marshbird
1848,Pseudonestor xanthophrys,Maui Parrotbill
1849,Pseudopipra pipra,White-crowned Manakin
1850,Pseudoseisura lophotes,Brown Cacholote
1851,Psilopogon asiaticus,Blue-throated Barbet
1852,Psilopogon chrysopogon,Gold-whiskered Barbet
1853,Psilopogon duvaucelii,Blue-eared Barbet
1854,Psilopogon franklinii,Golden-throated Barbet
1855,Psilopogon haemacephalus,Coppersmith Barbet
1856,Psilopogon lineatus,Lineated Barbet
1857,Psilopogon malabaricus,Malabar Barbet
1858,Psilopogon mystacophanos,Red-throated Barbet
1859,Psilopogon nuchalis,Taiwan Barbet
1860,Psilopogon virens,Great Barbet
1861,Psilopogon viridis,White-cheeked Barbet
1862,Psilopogon zeylanicus,Brown-headed Barbet
1863,Psilorhinus morio,Brown Jay
1864,Psiloscops flammeolus,Flammulated Owl
1865,Psittacara erythrogenys,Red-masked Parakeet
1866,Psittacara holochlorus,Green Parakeet
1867,Psittacara leucophthalmus,White-eyed Parakeet
1868,Psittacara mitratus,Mitred Parakeet
1869,Psittacara wagleri,Scarlet-fronted Parakeet
1870,Psittacula alexandri,Red-breasted Parakeet
1871,Psittacula columboides,Malabar Parakeet
1872,Psittacula cyanocephala,Plum-headed Parakeet
1873,Psittacula eupatria,Alexandrine Parakeet
1874,Psittacula krameri,Rose-ringed Parakeet
1875,Psittacus erithacus,Gray Parrot
1876,Psophodes olivaceus,Eastern Whipbird
1877,Pternistis erckelii,Erckel's Francolin
1878,Pterocles exustus,Chestnut-bellied Sandgrouse
1879,Pterodroma cookii,Cook's Petrel
1880,Pterodroma externa,Juan Fernandez Petrel
1881,Pterodroma inexpectata,Mottled Petrel
1882,Pterodroma neglecta,Kermadec Petrel
1883,Pterodroma nigripennis,Black-winged Petrel
1884,Pterodroma sandwichensis,Hawaiian Petrel
1885,Pteroglossus aracari,Black-necked Aracari
1886,Pteroglossus castanotis,Chestnut-eared Aracari
1887,Pteroglossus torquatus,Collared Aracari
1888,Pterophylla camellifolia,Common True Katydid
1889,Pteroptochos megapodius,Moustached Turca
1890,Pterorhinus chinensis,Black-throated Laughingthrush
1891,Pteruthius aeralatus,Blyth's Shrike-Babbler
1892,Ptilinopus magnificus,Wompoo Fruit-Dove
1893,Ptiliogonys caudatus,Long-tailed Silky-flycatcher
1894,Ptiliogonys cinereus,Gray Silky-flycatcher
1895,Ptilonorhynchus violaceus,Satin Bowerbird
1896,Ptilotula fusca,Fuscous Honeyeater
1897,Ptilotula penicillata,White-plumed Honeyeater
1898,Ptyonoprogne rupestris,Eurasian Crag-Martin
1899,Puffinus nativitatis,Christmas Shearwater
1900,Puffinus newelli,Newell's Shearwater
1901,Puffinus puffinus,Manx Shearwater
1902,Pulsatrix perspicillata,Spectacled Owl
1903,Purnella albifrons,White-fronted Honeyeater
1904,Pycnonotus aurigaster,Sooty-headed Bulbul
1905,Pycnonotus barbatus,Common Bulbul
1906,Pycnonotus cafer,Red-vented Bulbul
1907,Pycnonotus goiavier,Yellow-vented Bulbul
1908,Pycnonotus jocosus,Red-whiskered Bulbul
1909,Pycnonotus leucogenys,Himalayan Bulbul
1910,Pycnonotus luteolus,White-browed Bulbul
1911,Pycnonotus plumosus,Olive-winged Bulbul
1912,Pycnonotus sinensis,Light-vented Bulbul
1913,Pycnonotus xanthopygos,White-spectacled Bulbul
1914,Pygochelidon cyanoleuca,Blue-and-white Swallow
1915,Pyriglena leucoptera,White-shouldered Fire-eye
1916,Pyrilia haematotis,Brown-hooded Parrot
1917,Pyrocephalus rubinus,Vermilion Flycatcher
1918,Pyroderus scutatus,Red-ruffed Fruitcrow
1919,Pyrrhocorax graculus,Yellow-billed Chough
1920,Pyrrhocorax pyrrhocorax,Red-billed Chough
1921,Pyrrhomyias cinnamomeus,Cinnamon Flycatcher
1922,Pyrrhula pyrrhula,Eurasian Bullfinch
1923,Pyrrhura frontalis,Maroon-bellied Parakeet
1924,Pyrrhura melanura,Maroon-tailed Parakeet
1925,Querula purpurata,Purple-throated Fruitcrow
1926,Quiscalus lugubris,Carib Grackle
1927,Quiscalus major,Boat-tailed Grackle
1928,Quiscalus mexicanus,Great-tailed Grackle
1929,Quiscalus quiscula,Common Grackle
1930,Rallus aquaticus,Water Rail
1931,Rallus crepitans,Clapper Rail
1932,Rallus elegans,King Rail
1933,Rallus limicola,Virginia Rail
1934,Rallus obsoletus,Ridgway's Rail
1935,Ramphastos ambiguus,Yellow-throated Toucan
1936,Ramphastos brevis,Choco Toucan
1937,Ramphastos dicolorus,Red-breasted Toucan
1938,Ramphastos sulfuratus,Keel-billed Toucan
1939,Ramphastos toco,Toco Toucan
1940,Ramphastos tucanus,White-throated Toucan
1941,Ramphastos vitellinus,Channel-billed Toucan
1942,Ramphocaenus melanurus,Long-billed Gnatwren
1943,Ramphocelus bresilius,Brazilian Tanager
1944,Ramphocelus carbo,Silver-beaked Tanager
1945,Ramphocelus dimidiatus,Crimson-backed Tanager
1946,Ramphocelus flammigerus,Flame-rumped Tanager
1947,Ramphocelus passerinii,Scarlet-rumped Tanager
1948,Recurvirostra americana,American Avocet
1949,Recurvirostra avosetta,Pied Avocet
1950,Regulus ignicapilla,Common Firecrest
1951,Regulus regulus,Goldcrest
1952,Regulus satrapa,Golden-crowned Kinglet
1953,Remiz pendulinus,Eurasian Penduline-Tit
1954,Rhipidura albicollis,White-throated Fantail
1955,Rhipidura albiscapa,Gray Fantail
1956,Rhipidura albogularis,Spot-breasted Fantail
1957,Rhipidura aureola,White-browed Fantail
1958,Rhipidura fuliginosa,New Zealand Fantail
1959,Rhipidura javanica,Malaysian Pied-Fantail
1960,Rhipidura leucophrys,Willie-wagtail
1961,Rhipidura rufifrons,Rufous Fantail
1962,Rhipidura rufiventris,Northern Fantail
1963,Rhodinocichla rosea,Rosy Thrush-Tanager
1964,Rhopospina fruticeti,Mourning Sierra Finch
1965,Rhynchocyclus olivaceus,Olivaceous Flatbill
1966,Rhynchophanes mccownii,Thick-billed Longspur
1967,Rhynchotus rufescens,Red-winged Tinamou
1968,Rhytipterna holerythra,Rufous Mourner
1969,Rhytipterna simplex,Grayish Mourner
1970,Riparia riparia,Bank Swallow
1971,Rissa tridactyla,Black-legged Kittiwake
1972,Rostrhamus sociabilis,Snail Kite
1973,Rubigula erythropthalmos,Spectacled Bulbul
1974,Rubigula flaviventris,Black-crested Bulbul
1975,Rubigula gularis,Flame-throated Bulbul
1976,Rupicola peruvianus,Andean Cock-of-the-rock
1977,Rupornis magnirostris,Roadside Hawk
1978,Rynchops niger,Black Skimmer
1979,Sakesphorus canadensis,Black-crested Antshrike
1980,Salpinctes obsoletus,Rock Wren
1981,Saltator atriceps,Black-headed Saltator
1982,Saltator atripennis,Black-winged Saltator
1983,Saltator aurantiirostris,Golden-billed Saltator
1984,Saltator coerulescens,Blue-gray Saltator
1985,Saltator grandis,Cinnamon-bellied Saltator
1986,Saltator grossus,Slate-colored Grosbeak
1987,Saltator maximus,Buff-throated Saltator
1988,Saltator olivascens,Olivaceous Saltator
1989,Saltator similis,Green-winged Saltator
1990,Saltator striatipectus,Streaked Saltator
1991,Saxicola caprata,Pied Bushchat
1992,Saxicola ferreus,Gray Bushchat
1993,Saxicola rubetra,Whinchat
1994,Saxicola rubicola,European Stonechat
1995,Saxicola torquatus,African Stonechat
1996,Sayornis nigricans,Black Phoebe
1997,Sayornis phoebe,Eastern Phoebe
1998,Sayornis saya,Say's Phoebe
1999,Scaphiopus couchii,Couch's Spadefoot
2000,Scelorchilus rubecula,Chucao Tapaculo
2001,Schiffornis veraepacis,Northern Schiffornis
2002,Schiffornis virescens,Greenish Schiffornis
2003,Schoeniophylax phryganophilus,Chotoy Spinetail
2004,Schoeniparus brunneus,Dusky Fulvetta
2005,Sciaphylax hemimelaena,Chestnut-tailed Antbird
2006,Sciurus carolinensis,Eastern Gray Squirrel
2007,Sclateria naevia,Silvered Antbird
2008,Scolopax minor,American Woodcock
2009,Scolopax rusticola,Eurasian Woodcock
2010,Scudderia curvicauda,Curve-tailed Bush Katydid
2011,Scudderia furcata,Fork-tailed Bush Katydid
2012,Scudderia texensis,Texas Bush Katydid
2013,Scytalopus argentifrons,Silvery-fronted Tapaculo
2014,Scytalopus fuscus,Dusky Tapaculo
2015,Scytalopus latrans,Blackish Tapaculo
2016,Scytalopus magellanicus,Magellanic Tapaculo
2017,Scytalopus spillmanni,Spillmann's Tapaculo
2018,Scytalopus vicinior,Nariño Tapaculo
2019,Scythrops novaehollandiae,Channel-billed Cuckoo
2020,Seiurus aurocapilla,Ovenbird
2021,Selasphorus calliope,Calliope Hummingbird
2022,Selasphorus platycercus,Broad-tailed Hummingbird
2023,Selasphorus rufus,Rufous Hummingbird
2024,Selasphorus sasin,Allen's Hummingbird
2025,Semnornis ramphastinus,Toucan Barbet
2026,Sephanoides sephaniodes,Green-backed Firecrown
2027,Sericornis frontalis,White-browed Scrubwren
2028,Sericornis humilis,Tasmanian Scrubwren
2029,Serinus canaria,Island Canary
2030,Serinus serinus,European Serin
2031,Serpophaga griseicapilla,Straneck's Tyrannulet
2032,Serpophaga subcristata,White-crested Tyrannulet
2033,Setophaga americana,Northern Parula
2034,Setophaga caerulescens,Black-throated Blue Warbler
2035,Setophaga castanea,Bay-breasted Warbler
2036,Setophaga cerulea,Cerulean Warbler
2037,Setophaga chrysoparia,Golden-cheeked Warbler
2038,Setophaga citrina,Hooded Warbler
2039,Setophaga coronata,Yellow-rumped Warbler
2040,Setophaga discolor,Prairie Warbler
2041,Setophaga dominica,Yellow-throated Warbler
2042,Setophaga fusca,Blackburnian Warbler
2043,Setophaga graciae,Grace's Warbler
2044,Setophaga kirtlandii,Kirtland's Warbler
2045,Setophaga magnolia,Magnolia Warbler
2046,Setophaga nigrescens,Black-throated Gray Warbler
2047,Setophaga occidentalis,Hermit Warbler
2048,Setophaga palmarum,Palm Warbler
2049,Setophaga pensylvanica,Chestnut-sided Warbler
2050,Setophaga petechia,Yellow Warbler
2051,Setophaga pinus,Pine Warbler
2052,Setophaga pitiayumi,Tropical Parula
2053,Setophaga ruticilla,American Redstart
2054,Setophaga striata,Blackpoll Warbler
2055,Setophaga tigrina,Cape May Warbler
2056,Setophaga townsendi,Townsend's Warbler
2057,Setophaga virens,Black-throated Green Warbler
2058,Sialia currucoides,Mountain Bluebird
2059,Sialia mexicana,Western Bluebird
2060,Sialia sialis,Eastern Bluebird
2061,Sicalis flaveola,Saffron Finch
2062,Sicalis luteola,Grassland Yellow-Finch
2063,Sicalis olivascens,Greenish Yellow-Finch
2064,Sinosuthora webbiana,Vinous-throated Parrotbill
2065,Siren,Siren
2066,Sirystes sibilator,Sibilant Sirystes
2067,Sitta canadensis,Red-breasted Nuthatch
2068,Sitta carolinensis,White-breasted Nuthatch
2069,Sitta europaea,Eurasian Nuthatch
2070,Sitta frontalis,Velvet-fronted Nuthatch
2071,Sitta himalayensis,White-tailed Nuthatch
2072,Sitta pusilla,Brown-headed Nuthatch
2073,Sitta pygmaea,Pygmy Nuthatch
2074,Sittasomus griseicapillus,Olivaceous Woodcreeper
2075,Sittiparus varius,Varied Tit
2076,Smicrornis brevirostris,Weebill
2077,Somateria mollissima,Common Eider
2078,Spatula clypeata,Northern Shoveler
2079,Spatula cyanoptera,Cinnamon Teal
2080,Spatula discors,Blue-winged Teal
2081,Spatula querquedula,Garganey
2082,Spea bombifrons,Plains Spadefoot
2083,Sphecotheres vieilloti,Australasian Figbird
2084,Sphyrapicus nuchalis,Red-naped Sapsucker
2085,Sphyrapicus ruber,Red-breasted Sapsucker
2086,Sphyrapicus thyroideus,Williamson's Sapsucker
2087,Sphyrapicus varius,Yellow-bellied Sapsucker
2088,Spilornis cheela,Crested Serpent-Eagle
2089,Spinus barbatus,Black-chinned Siskin
2090,Spinus lawrencei,Lawrence's Goldfinch
2091,Spinus magellanicus,Hooded Siskin
2092,Spinus pinus,Pine Siskin
2093,Spinus psaltria,Lesser Goldfinch
2094,Spinus spinus,Eurasian Siskin
2095,Spinus tristis,American Goldfinch
2096,Spinus xanthogastrus,Yellow-bellied Siskin
2097,Spiza americana,Dickcissel
2098,Spizaetus ornatus,Ornate Hawk-Eagle
2099,Spizaetus tyrannus,Black Hawk-Eagle
2100,Spizella atrogularis,Black-chinned Sparrow
2101,Spizella breweri,Brewer's Sparrow
2102,Spizella pallida,Clay-colored Sparrow
2103,Spizella passerina,Chipping Sparrow
2104,Spizella pusilla,Field Sparrow
2105,Spizelloides arborea,American Tree Sparrow
2106,Sporophila angolensis,Chestnut-bellied Seed-Finch
2107,Sporophila caerulescens,Double-collared Seedeater
2108,Sporophila corvina,Variable Seedeater
2109,Sporophila funerea,Thick-billed Seed-Finch
2110,Sporophila lineola,Lined Seedeater
2111,Sporophila luctuosa,Black-and-white Seedeater
2112,Sporophila minuta,Ruddy-breasted Seedeater
2113,Sporophila morelleti,Morelet's Seedeater
2114,Sporophila nigricollis,Yellow-bellied Seedeater
2115,Sporophila torqueola,Cinnamon-rumped Seedeater
2116,Stachyris nigriceps,Gray-throated Babbler
2117,Stelgidopteryx ruficollis,Southern Rough-winged Swallow
2118,Stelgidopteryx serripennis,Northern Rough-winged Swallow
2119,Stephanophorus diadematus,Diademed Tanager
2120,Stercorarius longicaudus,Long-tailed Jaeger
2121,Stercorarius maccormicki,South Polar Skua
2122,Stercorarius parasiticus,Parasitic Jaeger
2123,Stercorarius pomarinus,Pomarine Jaeger
2124,Sterna aurantia,River Tern
2125,Sterna dougallii,Roseate Tern
2126,Sterna forsteri,Forster's Tern
2127,Sterna hirundo,Common Tern
2128,Sterna paradisaea,Arctic Tern
2129,Sternula albifrons,Little Tern
2130,Sternula antillarum,Least Tern
2131,Stigmatura budytoides,Greater Wagtail-Tyrant
2132,Stilpnia cayana,Burnished-buff Tanager
2133,Stilpnia larvata,Golden-hooded Tanager
2134,Strepera graculina,Pied Currawong
2135,Strepera versicolor,Gray Currawong
2136,Streptopelia capicola,Ring-necked Dove
2137,Streptopelia chinensis,Spotted Dove
2138,Streptopelia decaocto,Eurasian Collared-Dove
2139,Streptopelia decipiens,Mourning Collared-Dove
2140,Streptopelia orientalis,Oriental Turtle-Dove
2141,Streptopelia semitorquata,Red-eyed Dove
2142,Streptopelia senegalensis,Laughing Dove
2143,Streptopelia turtur,European Turtle-Dove
2144,Streptopelia vinacea,Vinaceous Dove
2145,Streptoprocne zonaris,White-collared Swift
2146,Strix aluco,Tawny Owl
2147,Strix nebulosa,Great Gray Owl
2148,Strix occidentalis,Spotted Owl
2149,Strix varia,Barred Owl
2150,Sturnella magna,Eastern Meadowlark
2151,Sturnella neglecta,Western Meadowlark
2152,Sturnia malabarica,Chestnut-tailed Starling
2153,Sturnia pagodarum,Brahminy Starling
2154,Sturnus unicolor,Spotless Starling
2155,Sturnus vulgaris,European Starling
2156,Suiriri suiriri,Suiriri Flycatcher
2157,Sula dactylatra,Masked Booby
2158,Sula leucogaster,Brown Booby
2159,Sula sula,Red-footed Booby
2160,Surnia ulula,Northern Hawk Owl
2161,Surniculus lugubris,Square-tailed Drongo-Cuckoo
2162,Sylvia atricapilla,Eurasian Blackcap
2163,Sylvia borin,Garden Warbler
2164,Sylvietta rufescens,Cape Crombec
2165,Sylvietta whytii,Red-faced Crombec
2166,Sylviorthorhynchus desmursii,Des Murs's Wiretail
2167,Symposiachrus trivirgatus,Spectacled Monarch
2168,Synallaxis albescens,Pale-breasted Spinetail
2169,Synallaxis azarae,Azara's Spinetail
2170,Synallaxis brachyura,Slaty Spinetail
2171,Synallaxis erythrothorax,Rufous-breasted Spinetail
