dateTime,source,energy,distance
2022-03-25 20:08:16.992587,3,0,63
2022-03-25 20:08:17.072545,3,0,63
2022-03-25 20:08:17.168098,3,0,63
2022-03-25 20:08:17.248185,3,0,63
2022-03-25 20:08:17.343745,3,0,63
2022-03-25 20:08:17.423805,3,0,63
2022-03-25 20:08:17.519354,3,0,63
2022-03-25 20:08:17.599416,3,0,63
2022-03-25 20:08:17.694987,3,0,63
2022-03-25 20:08:17.775020,3,0,63
2022-03-25 20:08:17.870594,3,0,63
2022-03-25 20:08:17.950657,3,0,63
2022-03-25 20:08:18.046181,3,0,63
2022-03-25 20:08:18.126351,3,0,63
2022-03-25 20:08:18.221838,3,0,63
2022-03-25 20:08:18.301913,3,0,63
2022-03-25 20:08:18.397485,3,0,63
2022-03-25 20:08:18.477528,3,0,63
2022-03-25 20:08:18.557599,3,0,63
2022-03-25 20:08:18.653173,3,0,63
2022-03-25 20:08:18.733299,3,0,63
2022-03-25 20:08:18.828755,3,0,63
2022-03-25 20:08:18.908839,3,0,63
2022-03-25 20:08:19.004387,3,0,63
2022-03-25 20:08:19.084468,3,0,63
2022-03-25 20:08:19.179985,3,0,63
2022-03-25 20:08:19.260090,3,0,63
2022-03-25 20:08:19.355586,3,0,63
2022-03-25 20:08:19.435668,3,0,63
2022-03-25 20:08:19.531217,3,0,63
2022-03-25 20:08:19.611328,3,0,63
2022-03-25 20:08:19.706930,3,0,63
2022-03-25 20:08:19.786975,3,0,63
2022-03-25 20:08:19.882469,3,0,63
2022-03-25 20:08:19.962581,3,0,63
2022-03-25 20:08:20.058104,3,0,63
2022-03-25 20:08:20.138170,3,0,63
2022-03-25 20:08:20.233739,3,0,63
2022-03-25 20:08:20.313826,3,0,63
2022-03-25 20:08:20.393868,3,0,63
2022-03-25 20:08:20.489436,3,0,63
2022-03-25 20:08:20.569500,3,0,63
2022-03-25 20:08:20.665086,3,0,63
2022-03-25 20:08:20.745118,3,0,63
2022-03-25 20:08:20.840642,3,0,63
2022-03-25 20:08:20.920726,3,0,63
2022-03-25 20:08:21.016314,3,0,63
2022-03-25 20:08:21.096353,3,0,63
2022-03-25 20:08:21.191921,3,0,63
2022-03-25 20:08:21.271977,3,0,63
2022-03-25 20:08:21.367546,3,0,63
2022-03-25 20:08:21.447621,3,0,63
2022-03-25 20:08:21.543142,3,0,63
2022-03-25 20:08:21.623233,3,0,63
2022-03-25 20:08:21.718776,3,0,63
2022-03-25 20:08:21.798843,3,0,63
2022-03-25 20:08:21.894419,3,0,63
2022-03-25 20:08:21.990427,3,0,63
2022-03-25 20:08:22.070131,3,0,63
