dateTime,lightLevel
2022-03-25 19:37:35.652287,742
2022-03-25 19:37:47.685149,741
2022-03-25 19:37:59.702876,744
2022-03-25 19:38:11.720831,745
2022-03-25 19:38:23.753773,742
2022-03-25 19:38:35.771540,742
2022-03-25 19:38:47.789359,741
2022-03-25 19:38:59.806791,744
2022-03-25 19:39:11.839514,743
2022-03-25 19:39:23.857377,742
2022-03-25 19:39:35.874949,742
2022-03-25 19:39:47.907913,741
2022-03-25 19:39:59.925418,743
2022-03-25 19:40:11.943212,742
2022-03-25 19:40:23.976267,744
2022-03-25 19:40:35.993915,743
2022-03-25 19:40:48.026779,743
2022-03-25 19:41:00.044557,742
2022-03-25 19:41:12.062171,743
2022-03-25 19:41:24.079728,746
2022-03-25 19:41:36.112537,742
2022-03-25 19:41:48.130529,743
2022-03-25 19:42:00.163206,741
2022-03-25 19:42:12.181006,743
2022-03-25 19:42:24.199096,741
2022-03-25 19:42:36.216611,741
2022-03-25 19:42:48.249620,743
2022-03-25 19:43:00.267514,743
2022-03-25 19:43:12.285522,746
2022-03-25 19:43:24.317945,743
2022-03-25 19:43:36.335769,742
2022-03-25 19:43:48.353779,743
2022-03-25 19:44:00.386695,746
2022-03-25 19:44:12.404424,742
2022-03-25 19:44:24.422115,743
2022-03-25 19:44:36.454987,741
2022-03-25 19:44:48.472600,742
2022-03-25 19:45:00.505506,743
2022-03-25 19:45:12.523310,743
2022-03-25 19:45:24.541145,744
2022-03-25 19:45:36.558798,742
2022-03-25 19:45:48.591673,743
2022-03-25 19:46:00.609760,741
2022-03-25 19:46:12.642637,743
2022-03-25 19:46:24.660369,742
2022-03-25 19:46:36.678329,742
2022-03-25 19:46:48.711190,745
2022-03-25 19:47:00.728965,743
2022-03-25 19:47:12.746784,742
2022-03-25 19:47:24.779444,743
2022-03-25 19:47:36.797072,746
2022-03-25 19:47:48.814849,746
2022-03-25 19:48:00.847629,746
2022-03-25 19:48:12.865293,742
2022-03-25 19:48:24.882949,742
2022-03-25 19:48:36.916146,742
2022-03-25 19:48:48.933651,742
2022-03-25 19:49:00.951553,743
2022-03-25 19:49:12.984501,741
2022-03-25 19:49:25.002245,746
2022-03-25 19:49:37.035278,743
2022-03-25 19:49:49.053066,741
2022-03-25 19:50:01.070743,743
2022-03-25 19:50:13.088283,745
2022-03-25 19:50:25.121348,741
2022-03-25 19:50:37.138973,744
2022-03-25 19:50:49.156719,745
2022-03-25 19:51:01.174288,743
2022-03-25 19:51:13.206888,743
2022-03-25 19:51:25.224868,742
2022-03-25 19:51:37.257723,746
2022-03-25 19:51:49.275447,741
2022-03-25 19:52:01.293199,742
2022-03-25 19:52:13.310764,741
2022-03-25 19:52:25.343811,742
2022-03-25 19:52:37.361511,743
2022-03-25 19:52:49.379157,742
2022-03-25 19:53:01.412232,742
2022-03-25 19:53:13.429909,743
2022-03-25 19:53:25.462903,741
2022-03-25 19:53:37.480635,742
2022-03-25 19:53:49.498194,741
2022-03-25 19:54:01.516109,742
2022-03-25 19:54:13.549176,745
2022-03-25 19:54:25.566855,743
2022-03-25 19:54:37.584577,746
2022-03-25 19:54:49.617406,745
2022-03-25 19:55:01.636431,744
2022-03-25 19:55:13.668389,742
2022-03-25 19:55:25.686100,743
2022-03-25 19:55:37.703927,744
2022-03-25 19:55:49.736928,742
2022-03-25 19:56:01.754949,743
2022-03-25 19:56:13.787863,741
2022-03-25 19:56:25.805552,742
2022-03-25 19:56:37.823427,741
2022-03-25 19:56:49.841028,742
2022-03-25 19:57:01.874070,742
2022-03-25 19:57:13.891891,745
2022-03-25 19:57:25.909502,742
2022-03-25 19:57:37.942796,746
2022-03-25 19:57:49.960568,743
2022-03-25 19:58:01.993406,743
2022-03-25 19:58:14.011344,747
2022-03-25 19:58:26.044434,745
2022-03-25 19:58:38.062199,743
2022-03-25 19:58:50.079786,743
2022-03-25 19:59:02.113032,744
2022-03-25 19:59:14.131059,742
2022-03-25 19:59:26.148571,742
2022-03-25 19:59:38.181212,742
2022-03-25 19:59:50.199141,745
2022-03-25 20:00:02.216945,744
2022-03-25 20:00:14.249675,746
2022-03-25 20:00:26.267465,744
2022-03-25 20:00:38.300457,743
2022-03-25 20:00:50.318410,742
2022-03-25 20:01:02.336021,742
2022-03-25 20:01:14.368805,743
2022-03-25 20:01:26.386442,743
2022-03-25 20:01:38.404129,742
2022-03-25 20:01:50.421885,742
2022-03-25 20:02:02.454664,743
2022-03-25 20:02:14.472285,741
2022-03-25 20:02:26.489994,744
2022-03-25 20:02:38.508136,744
2022-03-25 20:02:50.540603,743
2022-03-25 20:03:02.558537,742
2022-03-25 20:03:14.591467,747
2022-03-25 20:03:26.609247,745
2022-03-25 20:03:38.626919,743
2022-03-25 20:03:50.644694,742
2022-03-25 20:04:02.662266,742
2022-03-25 20:04:14.695187,743
2022-03-25 20:04:26.712656,745
2022-03-25 20:04:38.730203,742
2022-03-25 20:04:50.763133,743
2022-03-25 20:05:02.781038,742
2022-03-25 20:05:14.799093,742
2022-03-25 20:05:26.816780,743
2022-03-25 20:05:38.849314,744
2022-03-25 20:05:50.866948,743
2022-03-25 20:06:02.884463,742
2022-03-25 20:06:14.902243,742
2022-03-25 20:06:26.920107,742
2022-03-25 20:06:38.952608,743
2022-03-25 20:06:50.970339,742
2022-03-25 20:07:02.987903,746
2022-03-25 20:07:15.005385,742
2022-03-25 20:07:27.023349,743
2022-03-25 20:07:39.056029,742
2022-03-25 20:07:51.073711,743
2022-03-25 20:08:03.091653,743
2022-03-25 20:08:15.124790,743
2022-03-25 20:08:27.142769,742
2022-03-25 20:08:39.160233,743
2022-03-25 20:08:51.192790,743
2022-03-25 20:09:03.210556,745
2022-03-25 20:09:15.228654,746
2022-03-25 20:09:27.261415,746
2022-03-25 20:09:39.279136,746
2022-03-25 20:09:51.296587,743
2022-03-25 20:10:03.314616,742
